day,fair
24-08-2020,284
20-05-2018,411
06-09-2019,50
19-10-2020,424
27-11-2019,490
30-10-2018,474
06-08-2018,131
10-11-2020,247
25-02-2019,169
12-07-2019,68
13-12-2018,139
30-04-2019,419
07-04-2020,489
06-02-2020,335
06-10-2019,472
30-01-2019,389
29-05-2020,389
21-06-2019,173
25-06-2020,178
08-08-2018,72
26-06-2018,226
20-10-2020,500
05-04-2018,251
23-10-2019,218
09-04-2019,206
12-04-2020,113
24-01-2018,213
24-10-2018,287
04-01-2019,80
11-05-2019,303
19-06-2018,124
09-08-2019,316
24-12-2018,106
06-07-2020,310
26-07-2018,210
21-10-2019,423
24-01-2020,111
29-05-2018,198
20-12-2019,338
21-01-2018,53
20-07-2018,162
27-10-2018,148
31-12-2019,359
17-01-2020,378
02-09-2018,364
14-09-2019,316
05-06-2020,198
17-06-2019,156
07-08-2018,368
10-05-2019,266
01-04-2019,231
29-12-2020,150
29-08-2019,432
16-10-2019,463
25-02-2020,479
15-06-2020,81
29-01-2018,166
29-09-2019,188
17-04-2018,84
02-04-2019,440
16-11-2019,280
14-10-2020,411
21-07-2018,183
19-01-2020,130
25-05-2019,261
11-06-2018,226
28-08-2019,402
23-09-2020,101
01-05-2019,60
09-12-2018,59
21-03-2020,244
28-01-2019,425
03-01-2020,150
03-05-2018,471
24-02-2018,137
07-04-2019,259
26-10-2018,443
11-02-2018,241
31-12-2018,449
29-07-2018,456
16-06-2019,93
30-06-2018,442
21-06-2019,366
28-04-2018,370
19-02-2018,91
01-05-2019,232
28-03-2018,476
22-04-2018,420
22-04-2019,159
23-06-2018,242
19-05-2019,124
09-03-2019,271
11-04-2020,195
23-11-2018,334
20-03-2019,164
27-10-2019,486
14-12-2018,73
22-07-2020,90
20-04-2018,240
17-11-2018,346
16-08-2019,86
10-05-2018,66
16-11-2020,429
03-11-2020,428
15-03-2018,138
11-12-2019,421
14-10-2019,55
30-01-2020,76
06-11-2020,251
08-01-2018,213
28-05-2019,265
04-03-2020,69
14-06-2020,384
08-02-2018,86
28-01-2020,219
08-12-2018,76
21-02-2020,147
03-12-2020,449
14-12-2018,234
20-02-2020,324
06-06-2018,271
31-10-2018,213
27-09-2019,231
24-02-2018,347
08-10-2019,440
27-02-2019,263
18-07-2019,143
28-01-2020,60
10-12-2018,119
01-06-2020,369
13-06-2019,359
21-07-2019,354
13-01-2018,454
04-06-2018,470
13-06-2019,456
31-07-2019,374
15-05-2020,473
18-10-2020,200
05-11-2018,385
17-04-2018,483
25-08-2018,252
22-02-2020,156
24-04-2018,272
04-06-2019,90
23-09-2018,412
21-11-2018,326
04-09-2018,342
26-07-2018,482
12-05-2018,409
17-03-2019,124
26-01-2020,166
21-01-2020,462
05-01-2019,357
20-03-2018,95
18-05-2020,391
02-05-2020,326
21-08-2019,340
26-08-2018,487
03-04-2019,245
08-09-2018,371
17-10-2019,122
04-02-2020,262
28-11-2019,52
11-06-2019,158
28-11-2018,400
23-01-2018,54
11-08-2020,75
03-02-2018,120
25-02-2019,374
28-04-2018,375
06-05-2018,64
05-02-2020,180
04-07-2018,195
08-01-2018,325
02-02-2020,206
24-10-2018,390
17-03-2019,305
29-12-2018,249
01-11-2019,90
21-11-2019,353
13-06-2018,62
10-01-2020,322
13-02-2018,149
07-08-2020,433
07-09-2018,128
05-07-2020,382
09-03-2018,250
26-04-2020,326
13-05-2018,129
06-08-2020,317
16-06-2019,383
12-03-2020,414
31-12-2018,347
22-11-2020,486
10-09-2020,77
09-01-2019,493
30-06-2018,322
02-08-2020,475
23-09-2018,483
24-07-2020,269
06-05-2020,195
22-12-2018,320
01-04-2019,129
02-09-2020,382
06-05-2018,479
15-08-2020,111
18-04-2020,368
17-01-2020,63
01-05-2020,94
23-12-2020,369
15-04-2018,128
08-03-2018,107
26-01-2020,177
06-02-2020,138
06-11-2020,145
19-08-2020,314
03-06-2018,111
29-05-2019,205
14-07-2018,246
31-03-2018,235
21-04-2018,183
13-10-2018,456
28-03-2019,222
04-04-2019,498
28-05-2020,404
28-07-2018,493
03-05-2019,426
10-02-2018,155
19-03-2020,71
02-02-2019,351
13-05-2020,87
26-05-2018,157
28-10-2018,438
17-01-2019,121
08-07-2020,318
18-12-2020,423
13-07-2018,435
22-03-2020,319
14-12-2019,165
24-10-2019,59
05-10-2020,361
21-03-2020,145
04-10-2020,285
11-02-2019,349
25-03-2020,440
07-12-2020,366
08-11-2018,300
16-07-2020,53
10-07-2018,264
06-09-2019,116
29-09-2019,468
13-01-2019,348
03-11-2019,164
19-10-2020,189
31-10-2018,433
10-11-2018,259
10-07-2020,153
15-11-2019,64
12-06-2019,53
14-06-2019,437
17-10-2018,468
07-12-2020,343
16-09-2018,188
11-12-2019,469
02-10-2019,258
28-04-2018,457
30-07-2019,157
31-05-2019,438
04-10-2020,276
09-09-2020,153
16-03-2020,313
02-08-2020,198
27-05-2020,102
20-05-2018,402
29-12-2018,149
07-12-2020,188
25-05-2019,145
23-12-2018,169
05-03-2019,320
07-07-2018,315
15-07-2018,124
26-09-2018,148
21-04-2020,349
14-10-2018,192
05-11-2019,136
13-06-2019,497
09-07-2018,337
15-03-2018,408
19-02-2019,237
09-01-2020,446
17-10-2019,78
12-05-2018,231
04-07-2019,492
28-02-2019,263
27-11-2018,285
25-01-2020,179
03-06-2020,403
15-06-2020,497
04-03-2018,237
29-12-2020,219
16-12-2020,129
18-07-2020,223
13-04-2020,484
28-04-2018,465
04-05-2019,118
22-11-2020,280
19-10-2019,243
09-11-2019,138
31-01-2018,318
21-03-2020,241
20-10-2019,276
28-09-2018,149
10-02-2020,298
20-12-2018,305
03-12-2020,446
26-08-2020,178
09-01-2019,113
21-07-2018,156
11-05-2020,344
11-04-2018,477
09-07-2018,226
08-01-2020,247
09-03-2018,237
05-06-2018,118
31-08-2019,169
22-04-2018,255
10-07-2020,339
03-01-2019,443
18-09-2019,373
02-06-2018,205
20-07-2020,279
01-05-2020,64
17-04-2018,75
12-03-2019,495
10-11-2018,114
04-07-2018,217
08-06-2019,81
29-10-2019,76
05-04-2020,276
16-02-2019,454
21-11-2018,192
09-02-2020,150
13-03-2020,444
06-04-2020,460
10-05-2018,141
15-02-2019,118
19-12-2019,105
23-05-2018,417
17-07-2019,364
19-02-2020,249
14-02-2019,71
03-11-2020,500
20-04-2018,135
08-11-2020,403
21-05-2019,333
02-07-2020,441
08-12-2018,376
17-02-2019,195
18-12-2018,442
10-02-2019,275
11-10-2020,301
10-01-2019,311
31-01-2020,236
07-06-2020,348
29-03-2019,115
16-02-2020,370
01-04-2020,390
09-10-2020,461
06-12-2019,210
18-01-2019,414
30-08-2018,299
10-11-2020,135
23-04-2020,254
23-10-2018,210
09-11-2019,155
02-09-2018,356
08-09-2020,383
17-12-2019,445
29-06-2019,286
21-11-2020,300
01-05-2020,156
10-01-2019,437
21-04-2020,343
20-06-2019,283
15-07-2018,345
09-01-2020,194
24-07-2019,301
16-02-2019,55
01-04-2019,387
09-11-2020,368
18-07-2018,471
26-07-2020,170
18-05-2020,460
23-11-2020,264
29-07-2020,398
08-07-2018,295
01-03-2018,408
08-06-2019,221
14-11-2019,187
18-09-2019,136
19-12-2019,284
29-09-2020,294
05-04-2018,471
28-10-2020,120
13-11-2020,446
27-09-2019,341
19-01-2020,173
09-06-2019,213
02-11-2020,205
08-12-2020,485
24-08-2019,165
19-01-2020,480
27-05-2020,424
04-08-2019,234
20-03-2020,470
28-07-2020,393
06-12-2019,348
01-02-2018,419
23-01-2019,89
04-01-2018,413
19-01-2019,439
09-04-2020,221
29-05-2018,438
26-06-2018,139
28-12-2018,261
20-02-2019,140
14-03-2018,282
16-08-2020,237
21-10-2019,370
14-03-2020,400
26-04-2019,136
15-04-2018,442
17-01-2018,384
23-03-2020,247
09-10-2019,406
18-02-2019,424
16-06-2020,124
31-01-2020,433
04-01-2018,339
16-09-2019,473
05-08-2020,174
29-10-2019,362
07-09-2018,462
28-12-2020,249
21-11-2020,366
17-11-2018,478
06-09-2020,481
09-11-2020,389
09-10-2020,177
08-05-2020,54
13-03-2018,416
08-11-2018,253
18-12-2020,338
16-01-2019,127
07-03-2019,474
08-06-2018,388
09-10-2019,127
06-05-2020,357
28-03-2020,450
02-09-2019,310
10-11-2019,344
13-01-2020,226
07-04-2018,73
04-08-2018,103
04-08-2019,273
12-05-2019,136
17-04-2020,224
13-02-2018,59
15-06-2019,478
04-06-2019,482
13-02-2020,390
16-05-2018,280
07-05-2020,192
19-02-2019,321
23-11-2019,265
30-07-2018,246
26-09-2019,340
02-02-2020,359
24-07-2018,190
01-10-2019,480
27-08-2018,354
09-04-2018,136
06-07-2020,189
27-10-2020,148
28-10-2020,319
09-02-2020,70
25-07-2020,361
22-08-2018,481
15-01-2018,349
25-11-2019,406
17-12-2019,441
25-01-2020,327
13-01-2020,86
30-12-2020,248
03-08-2020,64
05-05-2019,186
04-06-2020,344
04-07-2020,388
08-01-2019,335
08-11-2018,166
28-04-2020,439
28-06-2019,340
13-08-2018,430
18-11-2020,208
03-10-2019,199
09-11-2018,96
21-04-2019,416
04-09-2020,233
30-11-2020,385
31-03-2020,493
07-07-2020,467
10-06-2018,430
13-09-2019,460
22-07-2019,131
09-10-2018,457
15-10-2019,69
04-01-2020,328
15-02-2018,465
04-10-2019,417
12-09-2020,64
01-05-2018,306
24-01-2018,321
16-02-2018,321
26-01-2019,213
10-08-2019,373
13-12-2019,260
27-11-2018,376
14-05-2018,473
26-07-2020,76
02-08-2018,388
16-11-2020,227
26-02-2020,72
13-06-2020,321
02-09-2018,117
01-10-2018,267
05-07-2019,363
05-04-2019,485
04-01-2019,281
30-10-2020,261
12-11-2020,277
18-02-2018,252
15-06-2020,290
22-04-2018,421
23-07-2020,70
07-06-2019,497
04-09-2018,285
27-05-2019,410
03-05-2020,248
23-11-2019,224
29-08-2020,391
23-08-2020,425
30-05-2019,221
22-03-2018,111
20-02-2020,304
07-06-2019,51
19-08-2018,102
18-06-2020,333
18-11-2019,340
26-01-2019,261
05-05-2018,330
30-12-2019,391
28-07-2020,57
02-06-2019,303
08-07-2019,363
07-04-2019,123
25-03-2019,306
13-01-2018,106
24-04-2020,451
06-09-2020,92
02-11-2019,207
07-03-2019,144
09-08-2019,367
26-07-2019,203
28-04-2018,223
16-07-2018,93
12-03-2019,398
25-05-2019,174
09-06-2019,349
04-01-2019,452
30-01-2019,219
31-05-2019,232
07-03-2020,226
23-01-2018,163
07-01-2019,127
25-01-2018,79
01-09-2018,468
02-09-2018,108
26-12-2018,304
26-02-2020,166
08-01-2020,345
30-04-2020,135
04-08-2018,454
17-01-2020,408
03-09-2019,81
01-05-2020,264
07-01-2019,498
17-12-2018,188
24-10-2018,95
31-01-2020,162
28-09-2018,330
05-04-2020,147
08-04-2020,94
19-06-2018,423
05-01-2020,340
30-10-2019,252
04-03-2020,98
11-08-2018,129
17-06-2019,378
25-11-2020,361
03-09-2019,364
08-02-2019,439
24-05-2019,305
24-12-2019,269
